frame_id,registered,qw,qx,qy,qz,tx,ty,tz
19,1,0.188739,-0.673574,0.710127,-0.0799705,1.0371,-0.0522315,0.0419457
18,1,0.164957,-0.641821,0.737446,-0.130494,0.854086,-0.313831,0.0837509
17,1,0.177047,-0.639525,0.729028,-0.167873,0.566921,-0.436527,0.0698842
16,1,0.204403,-0.655242,0.718509,-0.112351,0.344209,-0.364219,0.0233091
15,1,-0.255356,0.696047,-0.671033,0.00514741,0.296432,-0.00922674,0.168745
14,1,-0.288099,0.717473,-0.632583,-0.0454938,0.079204,0.335917,0.348922
13,1,-0.28423,0.729323,-0.612365,-0.110952,0.0929814,0.578788,0.493
12,1,-0.253528,0.726295,-0.638905,-0.00446117,0.234712,1.18233,0.331511
11,1,-0.234323,0.713796,-0.658386,0.0459984,0.345486,1.43603,0.134338
10,1,-0.240886,0.7088,-0.660388,0.0588618,0.445706,1.55565,0.105931
9,1,-0.21295,0.71796,-0.661778,0.0351576,0.569402,1.62922,0.0919616
8,1,-0.199987,0.720644,-0.663816,0.00504792,0.664721,1.44943,0.0890693
7,1,-0.219327,0.721599,-0.656605,0.00782141,0.493867,1.29389,0.272639
6,1,-0.189453,0.73091,-0.654947,0.0303811,0.552046,1.03565,0.22567
5,1,-0.168925,0.717264,-0.675948,-0.00953665,0.571209,0.906865,-0.26299
4,1,0.115748,-0.706333,0.697029,-0.0429679,0.264908,0.612219,-0.152476
3,1,-0.105566,0.708496,-0.696028,0.0493306,0.121265,0.379346,-0.129115
2,1,-0.105438,0.711975,-0.69226,0.0524537,0.069536,0.222291,-0.169272
1,1,-0.175117,0.715678,-0.675282,0.0336608,0.0297029,0.177875,-0.210918
0,1,-0.156223,0.730716,-0.64851,0.145202,0.029957,0.121004,-0.0514606
