frame_id,registered,qw,qx,qy,qz,tx,ty,tz
104,1,0.0148932,-0.617764,0.729152,-0.294081,1.03393,2.95908,0.401628
103,1,0.0827121,-0.6545,0.687394,-0.303772,0.545932,3.16312,0.688173
102,1,0.225417,0.698232,-0.676984,0.0578961,0.936417,3.25705,-0.0225208
101,1,-0.157198,-0.679103,0.699148,-0.159057,0.812444,3.22513,0.0221482
100,1,-0.0900611,-0.651163,0.71322,-0.243295,0.732446,3.20944,0.0894082
99,1,0.00493842,-0.644578,0.718425,-0.26146,0.508394,3.2936,0.494762
98,1,0.092051,-0.608663,0.718118,-0.324596,0.335454,3.28897,0.664077
97,1,0.642724,-0.471058,0.332827,0.504218,-0.285876,-1.76443,2.2706
96,1,0.641979,-0.489674,0.33166,0.487938,-0.417252,-1.76605,2.48856
95,1,0.636521,-0.500948,0.307424,0.499383,-0.386852,-1.94244,2.52052
94,1,0.626209,-0.520378,0.314303,0.488141,-0.431078,-1.95333,2.63717
93,1,0.571123,-0.553846,0.380687,0.471328,-0.218776,-1.75831,2.90697
92,1,0.703456,-0.276613,0.348514,0.554232,0.213262,-3.21991,1.66937
91,1,0.65986,-0.269891,0.37055,0.595346,0.612723,-3.04708,1.62287
90,1,0.59203,-0.360214,0.424014,0.583059,0.900708,-2.3779,2.20078
89,1,0.674674,0.0837475,0.191584,0.707882,0.602602,-3.12344,-0.945591
88,1,0.706945,-0.0247388,0.0859336,0.701593,0.57407,-3.13401,-0.748961
87,1,0.689115,-0.317868,-0.182732,0.625052,0.563899,-3.14935,-0.278827
86,1,0.673099,-0.249253,-0.220439,0.660468,0.869484,-2.74519,-0.537515
85,1,0.717636,-0.125046,-0.0778944,0.680658,0.553658,-2.84836,-0.281297
84,1,0.728198,-0.0466176,-0.099026,0.676572,0.52579,-2.61114,-0.664965
83,1,0.719848,0.0191006,-0.0714851,0.690177,0.583371,-2.38068,-0.841247
82,1,0.689618,-0.081207,-0.196615,0.692224,0.871191,-2.29764,-0.772816
81,1,0.64127,-0.0310744,-0.299895,0.705599,1.07256,-1.75335,-0.994978
