point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
0,2,-1,2.47204,2.55198,3.11102,1
1,2,-1,2.7502,2.85288,3.98742,1
2,2,-1,2.43725,2.55503,6.87446,1
3,2,-1,2.43725,2.55503,6.87446,1
4,2,-1,2.29616,2.41175,8.131,1
5,2,-1,2.29616,2.41175,8.131,1
6,2,-1,2.64828,2.78033,8.28471,1
7,2,-1,1.67129,1.75359,8.08799,1
8,2,-1,2.15084,2.21956,2.9742,1
9,2,-1,2.23959,2.33183,7.84869,1
10,2,-1,2.73638,2.8764,8.18787,1
11,2,-1,2.35458,2.47912,8.62117,1
12,2,-1,2.39673,2.51741,8.06445,1
13,2,-1,2.80564,2.90133,7.50824,1
14,2,-1,2.7605,2.85254,7.30915,1
15,2,-1,2.86238,2.96009,7.62746,1
16,2,-1,2.52712,2.65257,8.46412,1
17,2,-1,2.50904,2.63272,8.16363,1
18,2,-1,2.7437,2.88381,8.50168,1
19,2,-1,2.09212,2.19765,8.39098,1
20,2,-1,2.36141,2.47429,6.88695,1
21,2,-1,2.26163,2.33569,3.2308,1
22,2,-1,2.40592,2.48299,3.04706,1
23,2,-1,2.09934,2.20883,8.92873,1
24,2,-1,2.31813,2.44229,8.82072,1
25,2,-1,2.81371,2.9585,7.66868,1
26,2,-1,2.30835,2.42854,7.88193,1
27,2,-1,2.42466,2.548,7.03905,1
28,2,-1,2.22514,2.29668,6.35273,1
29,2,-1,2.84681,2.94261,6.07938,1
30,2,-1,2.84681,2.94261,6.07938,1
31,2,-1,2.30082,2.42275,8.61458,1
32,2,-1,2.46795,2.59562,8.03925,1
33,2,-1,2.48152,2.60597,7.81225,1
34,2,-1,2.17128,2.24561,7.7241,1
35,2,-1,2.35403,2.42747,2.9103,1
36,2,-1,2.1999,2.27073,3.04671,1
37,2,-1,2.1999,2.27073,3.04671,1
38,2,-1,2.18021,2.24938,2.99589,1
39,2,-1,2.57481,2.66032,3.33741,1
40,2,-1,2.29737,2.37536,3.47031,1
41,2,-1,2.29737,2.37536,3.47031,1
42,2,-1,2.38978,2.50389,6.9345,1
43,2,-1,2.60382,2.72518,7.80398,1
44,2,-1,1.57726,1.6564,8.06565,1
45,2,-1,2.14197,2.25144,8.67108,1
46,2,-1,2.02526,2.12686,8.54925,1
47,2,-1,2.22477,2.33773,8.6521,1
48,2,-1,2.25236,2.3276,7.21267,1
49,2,-1,2.29753,2.39622,8.12523,1
50,2,-1,2.43758,2.55886,8.1125,1
51,2,-1,2.23159,2.34633,8.62792,1
52,2,-1,2.53879,2.66835,7.79588,1
53,2,-1,2.53879,2.66835,7.79588,1
54,2,-1,2.73658,2.8586,5.57625,1
55,2,-1,2.39701,2.47042,2.84641,1
56,2,-1,2.5525,2.68357,7.71712,1
57,2,-1,2.5525,2.68357,7.71712,1
58,2,-1,2.84318,2.98835,8.1978,1
59,2,-1,2.55021,2.68228,8.80946,1
60,2,-1,2.11816,2.18279,2.53085,1
61,2,-1,2.7312,2.85694,6.13337,1
62,2,-1,2.35111,2.45452,6.59365,1
63,2,-1,2.38231,2.506,7.88739,1
64,2,-1,2.43787,2.52835,4.09593,1
65,2,-1,2.84164,2.93546,3.68885,1
66,2,-1,2.30026,2.30956,7.78093,1
67,2,-1,2.78553,2.85738,7.42356,1
68,2,-1,1.43018,1.49136,7.32214,1
69,2,-1,2.27898,2.28896,5.93966,1
70,2,-1,2.14292,2.26264,6.6454,1
71,2,-1,2.86751,2.89869,7.75799,1
72,2,-1,1.81316,1.88798,3.84923,1
73,2,-1,2.86751,2.89869,7.75799,1
74,2,-1,2.29182,2.30536,7.80741,1
75,2,-1,2.47953,2.54386,7.32081,1
76,2,-1,2.25392,2.35442,5.11592,1
77,2,-1,2.3973,2.47115,5.83193,1
78,2,-1,2.62382,2.72068,7.30674,1
79,2,-1,2.53298,2.63192,6.05553,1
80,2,-1,2.61249,2.61775,6.35955,1
81,2,-1,2.12795,2.21358,3.83274,1
82,2,-1,2.5312,2.54819,5.29619,1
83,2,-1,2.25762,2.29253,6.83361,1
84,2,-1,2.60039,2.65297,7.59051,1
85,2,-1,2.4673,2.6013,6.95819,1
86,2,-1,2.81431,2.824,6.04507,1
87,2,-1,2.17863,2.20119,6.05648,1
88,2,-1,2.56346,2.6878,5.38331,1
89,2,-1,2.56346,2.6878,5.38331,1
90,2,-1,2.66202,2.70974,6.77339,1
91,2,-1,2.61451,2.68277,6.36497,1
92,2,-1,1.41867,1.44024,5.57659,1
93,2,-1,0.721163,0.745259,5.54434,1
94,2,-1,0.479899,0.499261,4.45333,1
95,2,-1,2.39645,2.48608,6.23879,1
96,2,-1,2.25426,2.33627,6.14538,1
97,2,-1,2.4658,2.56378,6.2148,1
98,2,-1,2.17174,2.25735,6.36605,1
99,2,-1,2.39726,2.50272,6.39657,1
100,2,-1,2.80475,2.93085,6.40281,1
101,2,-1,2.67158,2.7902,6.42586,1
102,2,-1,2.22794,2.31719,6.44724,1
103,2,-1,2.76702,2.87987,4.32489,1
104,2,-1,2.36381,2.44712,4.48323,1
105,2,-1,2.1841,2.27071,4.15177,1
106,2,-1,2.81623,2.8584,5.55185,1
107,2,-1,2.3199,2.36398,4.81992,1
108,2,-1,2.30875,2.40666,6.57417,1
109,2,-1,0.819259,0.847143,4.33633,1
110,2,-1,2.51198,2.54928,5.72851,1
111,2,-1,2.19803,2.24319,6.17224,1
112,2,-1,2.19803,2.24319,6.17224,1
113,2,-1,0.926659,0.961954,4.20631,1
114,2,-1,2.5743,2.61112,5.58155,1
115,2,-1,2.4221,2.47833,6.1767,1
116,2,-1,2.25442,2.28752,5.57802,1
117,2,-1,2.01539,2.05428,5.60412,1
118,2,-1,2.23972,2.28031,5.61712,1
119,2,-1,0.724892,0.747463,5.60193,1
120,2,-1,0.739157,0.761496,5.53368,1
121,2,-1,1.33598,1.37473,4.30187,1
122,2,-1,1.33598,1.37473,4.30187,1
123,2,-1,1.21563,1.25498,4.3401,1
124,2,-1,1.98697,2.04613,6.92802,1
125,2,-1,2.59298,2.66327,4.70606,1
126,2,-1,2.35397,2.41004,6.25664,1
127,2,-1,2.3667,2.42455,6.28164,1
128,2,-1,2.03332,2.1007,6.95904,1
129,2,-1,1.13762,1.18009,4.51642,1
130,2,-1,2.74597,2.87424,6.31011,1
131,2,-1,2.74597,2.87424,6.31011,1
132,2,-1,2.37306,2.49058,4.72855,1
133,2,-1,2.23445,2.33152,4.16784,1
134,2,-1,0.179221,0.187868,3.95277,1
135,2,-1,0.462941,0.484729,4.27859,1
136,2,-1,2.3058,2.41289,6.35424,1
137,2,-1,0.344983,0.364667,3.58664,1
138,2,-1,2.62931,2.76093,6.12737,1
139,2,-1,1.14543,1.18146,4.9182,1
140,2,-1,1.1377,1.17875,4.28805,1
141,2,-1,1.1377,1.17875,4.28805,1
142,2,-1,1.21149,1.25772,3.99772,1
143,2,-1,1.18049,1.22679,4.18921,1
144,2,-1,1.18049,1.22679,4.18921,1
145,2,-1,2.56257,2.64503,5.21071,1
146,2,-1,2.56257,2.64503,5.21071,1
147,2,-1,1.82269,1.87549,5.31259,1
148,2,-1,2.17063,2.23132,6.80015,1
149,2,-1,1.90422,1.96778,6.97961,1
150,2,-1,0.233277,0.240614,5.44742,1
151,2,-1,2.9126,2.97723,5.40104,1
152,2,-1,1.95597,1.99175,5.589,1
153,2,-1,2.00462,2.04006,5.85236,1
154,2,-1,1.98207,2.01222,5.55987,1
155,2,-1,2.7899,2.82296,5.6196,1
156,2,-1,2.86791,2.92296,5.42044,1
157,2,-1,2.35532,2.40009,4.84366,1
158,2,-1,2.179,2.27212,6.42292,1
159,2,-1,2.42281,2.52009,6.19687,1
160,2,-1,2.25266,2.2994,4.72991,1
161,2,-1,2.32149,2.36984,4.75257,1
162,2,-1,2.71646,2.80491,4.5964,1
163,2,-1,0.254151,0.262031,5.4533,1
164,2,-1,1.1485,1.18575,4.30967,1
165,2,-1,1.1485,1.18575,4.30967,1
166,2,-1,1.10109,1.13088,4.34895,1
167,2,-1,1.10109,1.13088,4.34895,1
168,2,-1,0.455441,0.476885,4.02404,1
169,2,-1,2.20414,2.24678,5.88701,1
170,2,-1,2.0147,2.05377,6.11399,1
171,2,-1,2.5323,2.55343,5.51292,1
172,2,-1,2.27871,2.38432,6.34376,1
173,2,-1,2.3198,2.43022,6.246,1
174,2,-1,0.0289849,0.0304848,3.59265,1
175,2,-1,2.43165,2.54321,4.09182,1
176,2,-1,2.11991,2.18085,6.7118,1
177,2,-1,1.87991,1.93712,6.89513,1
178,2,-1,2.43823,2.49298,4.83084,1
179,2,-1,2.06823,2.1772,3.90854,1
180,2,-1,2.06823,2.1772,3.90854,1
181,2,-1,0.0681474,0.0720011,3.3924,1
182,2,-1,0.0681474,0.0720011,3.3924,1
183,2,-1,0.966883,0.997685,4.88342,1
184,2,-1,2.17048,2.22347,4.98926,1
185,2,-1,2.1725,2.22028,5.57641,1
186,2,-1,0.735179,0.759299,4.28225,1
187,2,-1,0.735179,0.759299,4.28225,1
188,2,-1,1.51709,1.55941,4.29353,1
189,2,-1,2.42251,2.48629,6.38523,1
190,2,-1,2.8372,2.90488,6.26214,1
191,2,-1,2.147,2.16166,5.34938,1
192,2,-1,2.19872,2.21352,5.35662,1
193,2,-1,1.35854,1.40614,4.76068,1
194,2,-1,1.35854,1.40614,4.76068,1
195,2,-1,0.721496,0.743432,4.29771,1
196,2,-1,2.77326,2.88515,4.8937,1
197,2,-1,2.63507,2.7411,4.81687,1
198,2,-1,0.949938,0.984055,4.27602,1
199,2,-1,2.09368,2.12583,5.68007,1
200,2,-1,2.09368,2.12583,5.68007,1
201,2,-1,1.00279,1.04102,4.21956,1
202,2,-1,0.867585,0.881212,5.75616,1
203,2,-1,2.861,2.99783,6.26844,1
204,2,-1,2.23001,2.32692,4.77938,1
205,2,-1,2.70236,2.82403,6.37003,1
206,2,-1,2.04696,2.14075,4.62447,1
207,2,-1,2.38155,2.42273,6.08253,1
208,2,-1,2.39424,2.48996,6.43535,1
209,2,-1,2.39424,2.48996,6.43535,1
210,2,-1,1.05642,1.09171,4.74674,1
211,2,-1,2.59642,2.62074,5.00386,1
212,2,-1,1.51507,1.52827,5.68302,1
213,2,-1,1.40053,1.4477,5.63194,1
214,2,-1,2.56541,2.59975,7.36204,1
215,2,-1,1.58693,1.60747,7.72383,1
216,2,-1,1.63093,1.65215,7.77421,1
217,2,-1,1.29788,1.31571,8.33344,1
218,2,-1,1.3351,1.35337,8.27247,1
219,2,-1,1.22548,1.24224,8.26253,1
220,2,-1,1.23698,1.25372,8.24359,1
221,2,-1,1.29963,1.31753,8.35682,1
222,2,-1,1.31431,1.33231,8.30482,1
223,2,-1,1.49145,1.51168,8.26691,1
224,2,-1,1.49145,1.51168,8.26691,1
225,2,-1,2.07163,2.09915,8.09181,1
226,2,-1,2.42917,2.46124,8.08871,1
227,2,-1,2.12012,2.14799,8.10227,1
228,2,-1,2.12012,2.14799,8.10227,1
229,2,-1,1.65079,1.67256,8.11146,1
230,2,-1,2.4789,2.50977,7.74347,1
231,2,-1,2.95805,2.99525,7.82223,1
232,2,-1,2.94708,2.99054,8.69863,1
233,2,-1,1.02756,1.04171,8.32054,1
234,2,-1,1.70839,1.7285,5.88299,1
235,2,-1,2.35522,2.38564,7.65131,1
236,2,-1,1.64049,1.66451,8.4291,1
237,2,-1,2.35522,2.38564,7.65131,1
238,2,-1,2.11282,2.14358,8.35575,1
239,2,-1,2.87589,2.89752,5.31123,1
240,2,-1,0.873488,0.882687,6.57806,1
241,2,-1,0.667467,0.674762,6.70889,1
242,2,-1,1.04777,1.05862,6.54939,1
243,2,-1,0.180824,0.182772,6.67355,1
244,2,-1,0.247975,0.250724,6.8033,1
245,2,-1,0.236306,0.238981,6.94879,1
246,2,-1,0.0620753,0.0627719,6.88194,1
247,2,-1,1.64781,1.67097,8.49568,1
248,2,-1,2.51256,2.54838,8.59895,1
249,2,-1,2.28124,2.31459,8.69984,1
250,2,-1,0.951182,0.964831,7.94664,1
251,2,-1,2.2349,2.26537,7.63989,1
252,2,-1,2.59804,2.63357,7.6916,1
253,2,-1,2.45134,2.48447,7.41289,1
254,2,-1,1.31499,1.33188,7.60614,1
255,2,-1,2.04299,2.06879,7.6501,1
256,2,-1,2.70362,2.7378,7.81646,1
257,2,-1,2.70362,2.7378,7.81646,1
258,2,-1,2.39001,2.42129,7.93545,1
259,2,-1,1.19488,1.21085,8.00811,1
260,2,-1,1.19488,1.21085,8.00811,1
261,2,-1,2.28266,2.31189,7.80144,1
262,2,-1,1.46686,1.48637,8.02105,1
263,2,-1,0.716957,0.72644,7.76389,1
264,2,-1,1.10446,1.11907,7.82389,1
265,2,-1,0.881089,0.89273,7.84145,1
266,2,-1,0.881089,0.89273,7.84145,1
267,2,-1,0.830789,0.841979,8.04156,1
268,2,-1,0.830789,0.841979,8.04156,1
269,2,-1,2.07768,2.10523,8.15265,1
270,2,-1,2.07768,2.10523,8.15265,1
271,2,-1,2.67343,2.70979,7.46622,1
272,2,-1,2.67343,2.70979,7.46622,1
273,2,-1,2.88032,2.91932,7.31875,1
274,2,-1,1.05225,1.0659,7.58893,1
275,2,-1,2.09659,2.12212,7.16938,1
276,2,-1,1.78863,1.81,6.87925,1
277,2,-1,2.68047,2.71394,6.35829,1
278,2,-1,2.55049,2.58289,6.46594,1
279,2,-1,2.24871,2.27491,6.97622,1
280,2,-1,2.03493,2.05964,6.38374,1
281,2,-1,2.6464,2.67582,6.61975,1
282,2,-1,2.17499,2.19884,6.45882,1
283,2,-1,2.17499,2.19884,6.45882,1
284,2,-1,2.43012,2.4496,4.66899,1
285,2,-1,1.89319,1.91785,7.9207,1
