frame_id,registered,qw,qx,qy,qz,tx,ty,tz
0,1,0.991301,-0.0405176,-0.116664,0.0454985,-1.79367,-2.40027,0.0103618
1,1,0.996937,0.0538982,-0.0491242,0.0282719,-1.82434,-2.11281,-1.02763
2,1,0.999862,-0.00782577,-0.0116209,0.0089644,-1.73589,-1.7877,-0.317145
3,1,0.999935,-0.00570611,-0.00895943,0.00416391,-1.51716,-1.02293,-0.123899
4,1,0.999921,0.00545024,-0.0109535,0.00285323,-0.841031,0.0865084,-0.324357
5,1,0.996357,0.0778866,-0.0118875,0.0326227,0.812862,1.36727,-1.30638
6,1,0.995067,0.0610851,-0.0576722,0.0527564,0.880053,1.89501,0.993903
7,1,0.991945,0.0990055,-0.0621055,0.0488445,0.561025,3.18177,0.959894
8,1,0.994266,0.0870299,-0.0448641,0.0429904,1.32407,3.93813,0.192621
9,1,0.993526,0.0745611,-0.0758153,0.0399964,0.841271,4.81719,0.144137
10,1,0.989888,0.0790849,-0.112991,0.0331808,0.214673,4.51002,0.0282995
11,1,0.990787,0.0828519,-0.0996649,0.0392885,-0.232318,3.89892,0.212476
12,1,0.986016,0.129634,-0.0792686,0.0684443,-0.571389,2.57191,0.97964
13,1,0.968474,0.225673,-0.0284304,0.101593,-1.03383,-0.351788,1.3488
14,1,0.977002,0.185724,-0.0757941,0.072309,-1.27738,-1.44461,0.741958
15,1,0.987312,0.131704,-0.0854314,0.0238784,-0.541123,-2.98355,0.170211
16,1,0.990793,0.0280412,-0.1221,-0.0513358,-0.778529,-4.36697,-0.114747
17,1,0.986624,-0.0282914,-0.141172,-0.0764378,0.135273,-4.56656,0.297133
18,1,0.991424,-0.010824,-0.104564,-0.0776372,1.52008,-3.98096,0.450168
19,1,0.995091,0.0367933,-0.086815,-0.0300698,2.67843,-2.97349,0.106202
