point_index,track_length
0,6
1,4
2,5
3,12
4,13
5,9
6,6
7,8
8,6
9,6
10,11
11,2
12,4
13,4
14,8
15,3
16,4
17,5
18,3
19,3
20,8
21,11
22,11
23,16
24,6
25,4
26,15
27,3
28,4
29,5
30,4
31,3
32,8
33,5
34,8
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,3
48,6
49,2
50,11
51,6
52,5
53,5
54,5
55,8
56,3
57,5
58,5
59,4
60,11
61,8
62,7
63,7
64,8
65,5
66,6
67,7
68,10
69,5
70,4
71,5
72,6
73,11
74,5
75,7
76,10
77,5
78,8
79,7
80,7
81,5
82,5
83,4
84,7
85,3
86,5
87,3
88,2
89,2
90,3
91,3
92,3
93,3
94,2
95,2
96,3
97,2
98,2
99,2
100,2
101,3
102,3
103,3
104,3
105,2
106,3
107,2
108,2
109,3
110,2
111,2
112,2
113,2
114,3
115,2
116,2
117,3
118,3
119,2
120,2
121,3
122,3
123,2
124,2
125,2
126,2
127,3
128,3
129,3
130,2
131,2
132,3
133,2
134,2
135,3
136,2
137,2
138,3
139,3
140,2
141,3
142,3
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,2
160,4
161,2
162,3
163,2
164,2
165,3
166,2
167,2
168,3
169,3
170,3
171,2
172,3
173,2
174,2
175,2
176,3
177,3
178,2
179,3
180,2
181,3
182,2
183,3
184,2
185,3
186,3
187,2
188,2
189,2
190,3
191,3
192,2
193,2
194,3
195,3
196,2
197,2
198,2
199,2
200,2
201,4
202,2
203,2
204,2
205,2
206,2
207,2
208,3
209,2
210,2
211,2
212,3
213,3
214,2
215,2
216,2
217,2
218,2
219,2
220,3
221,2
222,4
223,2
224,2
225,2
226,2
227,3
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,3
248,3
249,3
250,9
251,5
252,10
253,6
254,9
255,8
256,6
257,5
258,10
259,4
260,7
261,7
262,6
263,9
264,7
265,8
266,9
267,6
268,15
269,6
270,5
271,6
272,11
273,4
274,10
275,3
276,3
277,3
278,4
279,3
280,3
281,3
282,2
283,3
284,3
285,3
286,2
287,2
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,3
306,2
307,2
308,4
309,3
310,3
311,2
312,3
313,3
314,3
315,2
316,2
317,2
318,2
319,2
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,2
332,2
333,4
334,3
335,3
336,2
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,2
345,3
346,4
347,4
348,3
349,4
350,5
351,3
352,3
353,3
354,2
355,3
356,3
357,3
358,4
359,2
360,4
361,2
362,2
363,3
364,4
365,3
366,3
367,3
368,2
369,3
370,3
371,3
372,3
373,3
374,4
375,3
376,3
377,3
378,2
379,3
380,3
381,3
382,4
383,4
384,2
385,3
386,4
387,3
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,2
396,3
397,3
398,3
399,2
400,2
401,3
402,2
403,2
404,3
405,3
406,2
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,2
417,3
418,3
419,3
420,2
421,3
422,3
423,3
424,4
425,3
426,3
427,3
428,2
429,4
430,3
431,2
432,3
433,4
434,2
435,4
436,3
437,3
438,2
439,3
440,3
441,3
442,3
443,3
444,3
