point_index,track_length
0,9
1,13
2,6
3,9
4,5
5,12
6,7
7,4
8,8
9,8
10,8
11,11
12,2
13,4
14,8
15,3
16,4
17,6
18,3
19,6
20,4
21,6
22,6
23,9
24,3
25,4
26,3
27,4
28,8
29,3
30,8
31,5
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,5
46,11
47,6
48,8
49,3
50,5
51,6
52,3
53,5
54,7
55,7
56,7
57,8
58,8
59,5
60,8
61,10
62,7
63,7
64,4
65,5
66,6
67,6
68,11
69,6
70,11
71,5
72,3
73,5
74,8
75,5
76,5
77,7
78,4
79,3
80,2
81,2
82,3
83,3
84,3
85,3
86,2
87,2
88,3
89,2
90,2
91,2
92,2
93,3
94,3
95,3
96,3
97,2
98,3
99,2
100,2
101,3
102,2
103,2
104,2
105,2
106,2
107,3
108,2
109,2
110,3
111,3
112,2
113,2
114,3
115,3
116,2
117,2
118,2
119,2
120,3
121,3
122,3
123,2
124,2
125,3
126,2
127,2
128,3
129,2
130,2
131,3
132,3
133,2
134,3
135,3
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,2
153,4
154,2
155,2
156,2
157,2
158,3
159,2
160,2
161,3
162,3
163,3
164,2
165,3
166,2
167,2
168,2
169,3
170,3
171,2
172,3
173,2
174,3
175,2
176,3
177,2
178,3
179,3
180,2
181,2
182,2
183,3
184,2
185,3
186,2
187,2
188,3
189,3
190,2
191,2
192,2
193,2
194,4
195,2
196,2
197,2
198,2
199,2
200,2
201,3
202,3
203,2
204,2
205,2
206,3
207,3
208,2
209,2
210,2
211,2
212,2
213,2
214,3
215,2
216,4
217,2
218,2
219,2
220,2
221,2
222,3
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,3
243,8
244,3
245,3
246,8
247,7
248,7
249,5
250,7
251,5
252,6
253,9
254,6
255,8
256,5
257,10
258,9
259,4
260,9
261,9
262,6
263,7
264,8
265,10
266,6
267,6
268,5
269,6
270,11
271,4
272,3
273,3
274,3
275,4
276,3
277,3
278,3
279,2
280,3
281,3
282,3
283,2
284,2
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,3
303,2
304,2
305,4
306,3
307,3
308,2
309,3
310,3
311,3
312,2
313,2
314,2
315,2
316,2
317,3
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,2
329,2
330,4
331,3
332,3
333,2
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,4
343,4
344,3
345,4
346,5
347,3
348,3
349,3
350,2
351,3
352,3
353,3
354,4
355,2
356,4
357,2
358,2
359,3
360,4
361,3
362,3
363,3
364,2
365,3
366,3
367,3
368,3
369,3
370,4
371,3
372,3
373,3
374,3
375,2
376,3
377,3
378,3
379,4
380,4
381,2
382,3
383,4
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,3
392,2
393,3
394,3
395,3
396,2
397,2
398,3
399,2
400,2
401,3
402,3
403,2
404,3
405,3
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,2
414,3
415,3
416,3
417,2
418,3
419,3
420,3
421,4
422,3
423,3
424,3
425,2
426,4
427,3
428,2
429,3
430,4
431,2
432,4
433,3
434,3
435,2
436,3
437,3
438,3
439,3
440,3
441,3
442,3
443,2
444,3
445,3
446,4
447,3
448,3
449,3
450,3
451,3
452,2
453,2
454,2
455,3
456,3
457,2
458,3
459,3
460,2
461,3
462,3
463,3
464,3
465,3
466,3
467,2
468,2
469,3
470,2
471,2
472,3
473,3
474,2
475,3
476,3
477,3
478,3
479,2
480,3
481,2
482,3
483,2
484,3
485,2
486,3
487,3
488,3
489,4
490,4
491,4
492,3
493,3
494,3
495,3
496,3
497,3
498,3
499,3
500,3
501,3
502,3
503,3
504,3
505,4
506,3
507,3
508,3
509,3
510,4
511,3
512,3
513,2
514,3
515,3
516,2
517,3
518,2
519,3
520,3
521,3
522,2
523,2
524,2
525,4
526,3
527,3
528,2
529,3
530,3
531,2
532,4
533,3
534,3
535,3
536,3
537,3
538,3
539,2
540,2
541,3
542,2
543,4
544,3
545,3
546,2
547,3
548,3
549,3
550,3
551,3
552,2
553,2
554,2
555,2
556,2
557,3
558,2
559,3
560,3
561,3
562,2
563,2
564,2
565,2
566,4
567,3
568,3
569,3
570,2
571,3
572,2
573,3
574,3
575,4
576,3
577,3
578,4
579,3
580,4
581,3
582,2
583,2
584,2
585,3
586,2
587,2
588,3
589,3
590,3
591,2
592,3
593,3
594,2
595,2
596,4
597,3
598,2
599,3
600,3
601,2
602,2
603,2
604,3
605,2
606,2
607,2
608,3
609,2
610,3
611,3
612,4
613,4
614,2
615,2
616,4
617,3
618,2
619,4
620,4
621,3
622,4
623,3
624,2
625,3
626,2
627,2
628,2
629,2
630,2
631,2
632,3
633,3
634,3
635,3
636,2
637,2
638,2
639,3
640,2
641,4
642,2
643,6
644,7
645,9
646,6
647,7
648,6
649,3
650,10
651,9
652,12
653,7
654,13
655,10
656,5
657,3
658,3
659,4
660,3
661,2
662,2
663,4
664,2
665,2
666,3
667,4
668,6
669,3
670,3
671,5
672,4
673,2
674,3
675,3
676,4
677,4
678,4
679,4
680,4
681,3
682,4
683,2
684,2
685,3
686,3
687,4
688,3
689,4
690,4
691,3
692,2
693,2
694,4
695,3
696,2
697,3
698,3
699,3
700,4
701,4
702,2
703,2
704,3
705,4
706,4
707,3
708,2
709,4
710,2
711,2
712,2
713,5
714,4
715,3
716,3
717,3
718,4
719,3
720,4
721,2
722,2
723,5
724,5
725,4
726,4
727,4
728,4
729,6
730,5
731,3
732,5
733,2
734,2
735,3
736,2
737,3
738,2
739,2
740,4
741,3
742,4
743,3
744,4
745,3
746,4
747,3
748,4
749,4
750,2
751,2
752,5
753,3
754,3
755,2
756,4
757,3
758,2
759,4
760,3
761,2
762,4
763,2
764,4
765,2
766,3
767,4
768,5
769,4
770,4
771,5
772,2
773,4
774,4
775,3
776,2
777,2
778,3
779,3
780,2
781,4
782,3
783,5
784,4
785,4
786,2
787,2
788,3
789,3
790,4
791,3
792,4
793,3
794,4
795,4
796,3
797,4
798,2
799,3
800,2
801,4
802,4
803,2
804,5
805,2
806,5
807,2
808,2
809,3
810,2
811,3
812,3
813,2
814,4
815,4
816,2
817,5
818,3
819,3
820,2
821,3
822,3
823,2
824,2
825,2
826,2
827,2
828,2
829,3
830,3
831,4
832,4
833,3
834,4
835,2
836,3
837,3
838,3
839,3
840,4
841,4
842,3
843,3
844,4
845,4
846,4
847,4
848,4
849,3
850,3
851,3
852,4
853,2
854,2
855,2
856,3
857,4
858,3
859,2
860,3
861,4
862,3
863,2
864,4
865,2
866,3
867,4
868,3
869,4
870,3
871,3
872,4
873,2
874,4
875,4
876,2
877,3
878,4
879,3
880,3
881,2
882,3
883,3
884,4
885,3
886,2
887,2
888,2
889,3
890,3
891,5
892,2
893,2
894,4
895,4
896,3
897,2
898,4
899,4
900,5
901,3
902,2
903,2
904,5
905,4
906,3
907,4
908,2
909,3
910,4
911,5
912,3
913,2
914,3
915,2
916,2
917,3
918,2
919,2
920,2
921,2
922,2
923,3
924,2
925,3
926,2
927,2
928,3
929,2
930,3
931,2
932,2
933,2
934,3
935,4
936,4
937,3
938,2
939,2
940,6
941,12
942,7
943,6
944,6
945,5
946,6
947,13
948,11
949,5
950,11
951,5
952,11
953,9
954,9
955,8
956,3
957,3
958,4
959,3
960,2
961,3
962,2
963,2
964,2
965,2
966,2
967,2
968,2
969,3
970,2
971,2
972,3
973,2
974,2
975,4
976,2
977,3
978,3
979,3
980,3
981,3
982,3
983,3
984,4
985,3
986,3
987,3
988,3
989,3
990,3
991,3
992,5
993,2
994,3
995,3
996,3
997,3
998,5
999,4
1000,4
1001,3
1002,3
1003,2
1004,2
1005,3
1006,2
1007,2
1008,4
1009,2
1010,2
1011,3
1012,3
1013,2
1014,3
1015,3
1016,3
1017,2
1018,4
1019,2
1020,5
1021,5
1022,4
1023,5
1024,5
1025,3
1026,4
1027,4
1028,7
1029,5
1030,3
1031,2
1032,2
1033,2
1034,2
1035,2
1036,4
1037,2
1038,2
1039,2
1040,2
1041,2
1042,4
1043,2
1044,2
1045,3
1046,3
1047,3
1048,2
1049,3
1050,2
1051,3
1052,3
1053,3
1054,2
1055,2
1056,5
1057,5
1058,5
1059,4
1060,4
1061,4
1062,3
1063,2
1064,3
1065,5
1066,2
1067,2
1068,2
1069,2
1070,2
1071,2
1072,2
1073,3
1074,6
1075,2
1076,4
1077,3
1078,4
1079,5
1080,5
1081,3
1082,3
1083,6
1084,4
1085,4
1086,5
1087,4
1088,3
1089,5
1090,2
1091,2
1092,4
1093,5
1094,4
1095,2
1096,5
1097,3
1098,2
1099,2
1100,4
1101,3
1102,5
1103,5
1104,2
1105,2
1106,3
1107,3
1108,5
1109,3
1110,3
1111,2
1112,2
1113,5
1114,4
1115,3
1116,5
1117,2
1118,7
1119,7
1120,4
1121,6
1122,3
1123,2
1124,5
1125,3
1126,2
1127,4
1128,2
1129,3
1130,3
1131,2
1132,3
1133,3
1134,2
1135,3
1136,5
1137,3
1138,5
1139,5
1140,4
1141,2
1142,3
1143,4
1144,2
1145,4
1146,2
1147,3
1148,2
1149,3
1150,4
1151,2
1152,3
1153,3
1154,2
1155,2
1156,5
1157,2
1158,5
1159,4
1160,7
1161,3
1162,5
1163,4
1164,7
1165,5
1166,2
1167,2
1168,3
1169,2
1170,2
1171,5
1172,2
1173,2
1174,5
1175,5
1176,3
1177,6
1178,2
1179,2
1180,3
1181,2
1182,2
1183,2
1184,2
1185,2
1186,2
1187,2
1188,2
1189,3
1190,2
1191,2
1192,3
1193,2
1194,2
1195,2
1196,3
1197,5
1198,2
1199,2
1200,2
1201,2
1202,2
1203,2
1204,2
1205,3
1206,3
1207,2
1208,2
1209,7
1210,3
1211,5
1212,6
1213,4
1214,6
1215,6
1216,7
1217,9
1218,3
1219,9
1220,6
1221,11
1222,4
1223,4
1224,7
1225,7
1226,8
1227,9
1228,7
1229,8
1230,6
1231,2
1232,9
1233,10
1234,12
1235,9
1236,11
1237,16
1238,16
1239,9
1240,8
1241,10
1242,12
1243,16
1244,4
1245,2
1246,2
1247,2
1248,5
1249,5
1250,5
1251,4
1252,5
1253,3
1254,4
1255,4
1256,3
1257,3
1258,3
1259,3
1260,2
1261,2
1262,2
1263,3
1264,5
1265,7
1266,3
1267,5
1268,2
1269,7
1270,3
1271,3
1272,2
1273,3
1274,4
1275,2
1276,4
1277,3
1278,3
1279,3
1280,2
1281,2
1282,3
1283,3
1284,2
1285,3
1286,2
1287,2
1288,3
1289,5
1290,6
1291,3
1292,3
1293,3
1294,3
1295,3
1296,2
1297,5
1298,2
1299,3
1300,2
1301,3
1302,2
1303,4
1304,5
1305,3
1306,5
1307,3
1308,7
1309,3
1310,3
1311,2
1312,7
1313,3
1314,2
1315,3
1316,2
1317,4
1318,2
1319,2
1320,2
1321,3
1322,2
1323,5
1324,3
1325,3
1326,3
1327,2
1328,3
1329,2
1330,3
1331,3
1332,2
1333,3
1334,3
1335,2
1336,2
1337,2
1338,5
1339,5
1340,5
1341,7
1342,3
1343,7
1344,3
1345,3
1346,2
1347,2
1348,3
1349,4
1350,4
1351,2
1352,5
1353,4
1354,5
1355,4
1356,5
1357,6
1358,6
1359,5
1360,3
1361,4
1362,5
1363,6
1364,6
1365,6
1366,5
1367,5
1368,4
1369,3
1370,4
