point_index,track_length
0,4
1,5
2,12
3,13
4,8
5,6
6,8
7,6
8,6
9,11
10,4
11,4
12,8
13,3
14,4
15,5
16,3
17,3
18,16
19,6
20,4
21,15
22,3
23,4
24,5
25,4
26,3
27,8
28,5
29,8
30,6
31,3
32,6
33,5
34,5
35,5
36,8
37,5
38,5
39,4
40,4
41,8
42,11
43,4
44,7
45,8
46,5
47,6
48,5
49,7
50,10
51,5
52,6
53,11
54,5
55,7
56,7
57,11
58,5
59,8
60,7
61,7
62,5
63,5
64,7
65,3
66,5
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,4
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,4
109,3
110,3
111,3
112,3
113,4
114,3
115,3
116,3
117,3
118,9
119,5
120,10
121,9
122,8
123,6
124,5
125,10
126,4
127,7
128,7
129,6
130,9
131,7
132,8
133,9
134,6
135,6
136,5
137,6
138,11
139,4
140,6
141,10
142,3
143,3
144,3
145,4
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,4
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,4
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,4
189,4
190,3
191,4
192,5
193,3
194,3
195,3
196,3
197,3
198,4
199,3
200,4
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,4
209,3
210,3
211,3
212,3
213,3
214,3
215,4
216,4
217,4
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,4
243,3
244,3
245,4
246,3
247,3
248,4
249,4
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,4
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,4
286,4
287,4
288,3
289,3
290,5
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,3
301,4
302,3
303,4
304,3
305,3
306,3
307,3
308,3
309,3
310,4
311,3
312,3
313,3
314,3
315,4
316,4
317,3
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,4
328,3
329,3
330,3
331,3
332,3
333,3
334,4
335,3
336,4
337,4
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,4
348,4
349,4
350,3
351,4
352,4
353,3
354,4
355,3
356,3
357,3
358,3
359,4
360,10
361,6
362,8
363,7
364,9
365,8
366,7
367,6
368,7
369,3
370,14
371,5
372,12
373,9
374,10
375,7
376,6
377,3
378,3
379,4
380,3
381,4
382,3
383,4
384,6
385,3
386,3
387,5
388,4
389,3
390,4
391,4
392,4
393,4
394,4
395,3
396,3
397,4
398,3
399,3
400,4
401,3
402,4
403,4
404,3
405,4
406,3
407,3
408,3
409,4
410,4
411,3
412,4
413,4
414,3
415,4
416,5
417,4
418,3
419,3
420,3
421,4
422,3
423,4
424,5
425,5
426,4
427,4
428,4
429,4
430,6
431,5
432,3
433,5
434,3
435,3
436,4
437,3
438,4
439,4
440,3
441,4
442,3
443,4
444,4
445,5
446,3
447,3
448,4
449,3
450,4
451,3
452,4
453,4
454,3
455,4
456,5
457,4
458,4
459,5
460,4
461,4
462,3
463,3
464,3
465,4
466,3
467,5
468,4
469,4
470,3
471,3
472,4
473,3
474,4
475,3
476,4
477,4
478,3
479,4
480,4
481,4
482,5
483,4
484,3
485,3
486,3
487,4
488,4
489,5
490,3
491,3
492,3
493,3
494,3
495,3
496,4
497,4
498,3
499,4
500,3
501,3
502,3
503,3
504,4
505,4
506,3
507,5
508,3
509,4
510,4
511,4
512,4
513,4
514,3
515,3
516,3
517,4
518,3
519,4
520,3
521,3
522,4
523,4
524,3
525,4
526,4
527,3
528,3
529,4
530,4
531,3
532,4
533,3
534,3
535,3
536,4
537,3
538,3
539,3
540,5
541,3
542,4
543,4
544,3
545,4
546,4
547,5
548,3
549,5
550,4
551,3
552,3
553,4
554,5
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,4
563,4
564,3
565,13
566,7
567,6
568,12
569,5
570,7
571,6
572,5
573,9
574,6
575,5
576,13
577,11
578,5
579,11
580,11
581,7
582,9
583,8
584,3
585,3
586,4
587,3
588,3
589,3
590,3
591,4
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,4
600,3
601,3
602,3
603,3
604,3
605,3
606,3
607,5
608,3
609,3
610,3
611,5
612,4
613,4
614,3
615,3
616,3
617,3
618,3
619,3
620,3
621,4
622,5
623,5
624,4
625,5
626,5
627,3
628,4
629,4
630,7
631,5
632,3
633,4
634,4
635,3
636,3
637,3
638,3
639,3
640,3
641,5
642,5
643,5
644,4
645,4
646,4
647,3
648,3
649,5
650,3
651,6
652,3
653,4
654,5
655,5
656,3
657,3
658,6
659,4
660,4
661,5
662,4
663,3
664,5
665,4
666,5
667,4
668,5
669,3
670,3
671,3
672,5
673,5
674,3
675,3
676,5
677,3
678,3
679,5
680,4
681,3
682,5
683,7
684,4
685,6
686,3
687,5
688,3
689,4
690,3
691,3
692,3
693,3
694,3
695,5
696,3
697,5
698,5
699,4
700,4
701,4
702,3
703,3
704,3
705,3
706,5
707,4
708,7
709,4
710,7
711,5
712,3
713,5
714,5
715,5
716,3
717,6
718,3
719,3
720,3
721,3
722,3
723,3
724,5
725,9
726,6
727,6
728,4
729,3
730,3
731,9
732,6
733,9
734,3
735,5
736,7
737,7
738,8
739,8
740,9
741,7
742,6
743,12
744,9
745,10
746,9
747,11
748,16
749,8
750,13
751,12
752,16
753,4
754,5
755,5
756,5
757,4
758,5
759,3
760,4
761,4
762,3
763,3
764,3
765,3
766,3
767,5
768,7
769,3
770,5
771,7
772,3
773,3
774,3
775,4
776,3
777,3
778,3
779,3
780,3
781,3
782,3
783,5
784,6
785,3
786,3
787,3
788,3
789,3
790,5
791,3
792,3
793,5
794,3
795,5
796,3
797,7
798,3
799,3
800,7
801,3
802,3
803,4
804,4
805,5
806,3
807,3
808,3
809,3
810,3
811,3
812,3
813,3
814,5
815,5
816,5
817,7
818,3
819,7
820,3
821,3
822,3
823,4
824,4
825,5
826,4
827,5
828,4
829,5
830,6
831,6
832,5
833,3
834,4
835,5
836,6
837,6
838,6
839,5
840,5
841,4
842,3
843,4
844,4
845,6
846,5
847,4
848,4
849,5
850,3
851,3
852,3
853,4
854,4
855,5
856,6
857,5
858,3
859,4
860,5
861,3
862,3
863,4
864,4
865,4
866,4
867,4
868,5
869,3
870,3
871,3
872,5
873,4
874,3
875,4
876,3
877,3
878,6
879,3
880,6
881,3
882,3
883,6
884,6
885,5
886,5
887,3
888,5
889,5
890,5
891,6
892,3
893,3
894,3
895,6
896,3
897,6
898,3
899,5
900,4
901,6
902,4
903,3
904,3
905,4
906,3
907,5
908,3
909,3
910,6
911,3
912,3
913,3
914,3
915,3
916,3
917,3
918,3
919,3
920,6
921,6
922,4
923,3
924,3
925,3
926,3
927,3
928,6
929,3
930,3
931,4
932,3
933,4
934,3
935,7
936,3
937,3
938,3
939,3
940,7
941,6
942,4
943,7
944,11
945,3
946,3
947,5
948,3
949,3
950,3
951,3
952,3
953,3
954,3
955,3
956,10
957,5
958,10
959,3
960,6
961,3
962,3
963,4
964,3
965,5
966,3
967,3
968,3
969,3
970,3
971,3
972,3
973,3
974,3
975,3
976,5
977,3
978,3
979,3
980,3
981,9
982,6
983,4
984,9
985,15
986,6
987,12
988,4
989,7
990,6
991,4
992,9
993,4
994,5
995,8
996,9
997,3
998,3
999,3
1000,3
1001,3
1002,3
1003,4
1004,4
1005,4
1006,3
1007,3
1008,4
1009,3
1010,5
1011,3
1012,3
1013,4
1014,4
1015,3
1016,3
1017,4
1018,3
1019,3
1020,3
1021,3
1022,4
1023,3
1024,3
1025,3
1026,3
1027,3
1028,3
1029,3
1030,3
1031,3
1032,3
1033,3
1034,3
1035,3
1036,6
1037,4
1038,3
1039,3
1040,4
1041,3
1042,3
