frame_id,registered,qw,qx,qy,qz,tx,ty,tz
9,1,0.993525,0.0745633,-0.0758188,0.0399925,0.841403,4.81739,0.144146
10,1,0.989888,0.0790818,-0.112995,0.0331771,0.214734,4.51005,0.0284392
11,1,0.990787,0.0828517,-0.0996668,0.0392845,-0.232292,3.899,0.212594
8,1,0.994266,0.0870267,-0.0448646,0.0429885,1.32417,3.93814,0.192654
7,1,0.991945,0.0990028,-0.0621074,0.0488414,0.561114,3.18177,0.959931
12,1,0.986016,0.129632,-0.0792708,0.0684452,-0.571359,2.57186,0.979655
19,1,0.995091,0.0367895,-0.086819,-0.0300629,2.67856,-2.97362,0.106201
18,1,0.991424,-0.0108269,-0.104566,-0.0776377,1.52008,-3.98098,0.450116
17,1,0.986623,-0.0282957,-0.141175,-0.0764409,0.135225,-4.5666,0.297048
16,1,0.990792,0.0280439,-0.1221,-0.0513375,-0.778611,-4.36691,-0.114865
5,1,0.996358,0.0778823,-0.0118816,0.0326243,0.812781,1.36719,-1.30639
0,1,0.991301,-0.0405188,-0.116664,0.0454983,-1.79375,-2.40023,0.0103044
13,1,0.968473,0.225679,-0.0284299,0.101594,-1.03383,-0.351822,1.34872
2,1,0.999862,-0.00782643,-0.0116205,0.00896554,-1.73587,-1.78767,-0.3171
15,1,0.987312,0.131707,-0.085431,0.0238791,-0.541172,-2.98358,0.170128
4,1,0.999921,0.00544923,-0.0109538,0.00285511,-0.840979,0.086543,-0.324276
1,1,0.996937,0.0539071,-0.0491185,0.0282667,-1.82451,-2.11261,-1.02763
6,1,0.995068,0.0610801,-0.0576712,0.052757,0.880054,1.89494,0.993883
14,1,0.977001,0.185728,-0.0757939,0.0723101,-1.27743,-1.44465,0.741851
3,1,0.999935,-0.00570799,-0.00895841,0.00416564,-1.51715,-1.02293,-0.123861
