point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
0,6,3.18569,3.18569,3.88072,19.1728,10
1,4,1.78558,1.78558,3.81042,10.0179,4
2,5,1.18033,1.18033,1.91762,23.5155,11
3,12,0.934875,0.934875,3.04703,32.3319,18
4,13,1.35923,1.35923,2.21476,33.2608,16
5,9,2.19743,2.19743,3.75524,23.3725,11
6,8,1.98255,1.98255,3.44692,23.3541,9
7,6,1.89051,1.89051,3.63603,11.6719,5
8,8,1.21502,1.21502,3.13597,32.4983,10
9,6,1.3858,1.3858,3.3692,16.6692,14
10,6,1.30116,1.30116,3.05808,30.8514,10
11,11,1.5377,1.5377,3.72756,32.1506,16
12,2,0.179912,0.179912,0.181585,4.32174,1
13,4,1.48832,1.48832,2.72149,16.7809,17
14,4,1.51633,1.51633,2.29507,13.3885,15
15,8,1.24444,1.24444,2.9084,17.6114,16
16,3,0.895753,0.895753,1.77836,10.147,12
17,4,1.31771,1.31771,2.97093,15.9323,4
18,5,1.56621,1.56621,3.38873,25.3071,11
19,3,0.491702,0.491702,0.944826,8.98147,3
20,3,1.4853,1.4853,3.45913,12.8815,2
21,11,2.3577,2.3577,3.78043,29.9158,17
22,11,2.3577,2.3577,3.78043,29.9158,17
23,16,1.35866,1.35866,3.4714,32.4955,19
24,6,1.20657,1.20657,2.26115,8.69498,7
25,4,1.1971,1.1971,2.96167,15.0292,18
26,15,1.4101,1.4101,3.34583,32.4865,19
27,3,0.557861,0.557861,0.920177,7.67223,2
28,4,1.98889,1.98889,3.65539,9.19666,4
29,5,1.43283,1.43283,3.1673,20.8675,15
30,4,1.60273,1.60273,2.99929,8.41383,14
31,3,0.507588,0.507588,0.720639,14.9307,2
32,8,1.43132,1.43132,3.46611,40.145,19
33,5,1.30397,1.30397,3.00858,22.6583,12
34,8,1.32643,1.32643,3.55432,33.1289,9
35,2,0.8507,0.8507,0.866328,5.02514,1
36,2,1.46833,1.46833,2.54591,5.1987,1
37,2,1.33878,1.33878,2.23305,5.02073,1
38,2,1.53168,1.53168,2.69358,3.66615,1
39,2,0.662022,0.662022,0.666535,5.01389,1
40,2,1.14778,1.14778,1.72133,4.96127,1
41,2,1.99027,1.99027,3.72269,5.03991,1
42,2,0.304411,0.304411,0.304825,5.11903,1
43,2,1.66808,1.66808,3.00301,7.13052,2
44,2,0.983074,0.983074,1.36137,15.4102,3
45,2,0.983074,0.983074,1.36137,15.4102,3
46,2,2.0711,2.0711,3.90004,6.53705,2
47,6,1.59437,1.59437,2.65188,14.1348,5
48,3,0.830239,0.830239,1.0813,8.43973,3
49,6,1.1294,1.1294,2.70665,24.749,9
50,2,0.0126216,0.0126216,0.0127374,4.46945,2
51,11,2.1999,2.1999,3.49624,35.3517,12
52,5,1.75774,1.75774,3.93734,17.0308,6
53,5,1.86858,1.86858,3.28485,7.56314,5
54,5,1.81258,1.81258,3.68845,8.11829,5
55,8,1.40593,1.40593,2.20367,31.5921,12
56,3,0.107525,0.107525,0.16162,4.68257,2
57,5,1.21557,1.21557,3.03371,6.15707,4
58,5,0.931549,0.931549,3.20016,22.6249,9
59,4,0.820671,0.820671,2.29541,11.4711,4
60,4,1.849,1.849,2.92056,21.1881,13
61,8,1.33564,1.33564,2.53936,22.9122,11
62,11,1.219,1.219,3.12962,31.6578,19
