point_index,track_length
0,4
1,5
2,12
3,13
4,6
5,8
6,6
7,6
8,11
9,4
10,4
11,8
12,3
13,4
14,5
15,3
16,3
17,8
18,16
19,6
20,4
21,15
22,3
23,4
24,5
25,4
26,3
27,8
28,5
29,8
30,3
31,6
32,6
33,5
34,5
35,5
36,8
37,5
38,5
39,4
40,11
41,8
42,7
43,7
44,8
45,5
46,6
47,7
48,10
49,5
50,4
51,5
52,6
53,11
54,5
55,7
56,10
57,5
58,8
59,7
60,7
61,5
62,5
63,4
64,7
65,3
66,5
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,4
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,4
109,3
110,3
111,3
112,3
113,4
114,3
115,3
116,3
117,3
118,9
119,5
120,10
121,6
122,9
123,8
124,6
125,5
126,10
127,4
128,7
129,7
130,6
131,9
132,7
133,8
134,9
135,6
136,15
137,6
138,5
139,6
140,11
141,4
142,10
143,3
144,3
145,3
146,4
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,4
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,4
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,4
190,4
191,3
192,4
193,5
194,3
195,3
196,3
197,3
198,3
199,4
200,3
201,4
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,4
210,3
211,3
212,3
213,3
214,3
215,3
216,4
217,4
218,4
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,4
244,3
245,3
246,4
247,3
248,3
249,4
250,4
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,4
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,4
288,4
289,4
290,3
291,3
292,5
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,3
303,4
304,3
305,4
306,3
307,3
308,3
309,3
310,3
311,3
312,4
313,3
314,3
315,3
316,3
317,4
318,4
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,4
330,3
331,3
332,3
333,3
334,3
335,3
336,4
337,3
338,4
339,4
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,4
350,4
351,4
352,3
353,4
354,4
355,3
356,4
357,3
358,3
359,3
360,3
361,4
362,10
363,6
364,8
365,7
366,9
367,8
368,6
369,7
370,3
371,14
372,5
373,12
374,9
375,10
376,7
377,6
378,3
379,3
380,4
381,3
382,4
383,3
384,4
385,6
386,3
387,3
388,5
389,4
390,3
391,4
392,4
393,4
394,4
395,4
396,3
397,3
398,4
399,3
400,3
401,4
402,3
403,4
404,4
405,3
406,4
407,3
408,3
409,3
410,4
411,4
412,3
413,4
414,4
415,3
416,4
417,5
418,4
419,3
420,3
421,3
422,4
423,3
424,4
425,5
426,5
427,4
428,4
429,4
430,4
431,6
432,5
433,3
434,5
435,3
436,3
437,4
438,3
439,4
440,4
441,3
442,4
443,3
444,4
445,4
446,5
447,3
448,3
449,4
450,3
451,4
452,3
453,4
454,4
455,3
456,4
457,5
458,4
459,4
460,5
461,4
462,4
463,3
464,3
465,3
466,4
467,3
468,5
469,4
470,4
471,3
472,3
473,4
474,3
475,4
476,3
477,4
478,4
479,3
480,4
481,4
482,4
483,5
484,4
485,3
486,3
487,3
488,4
489,4
490,5
491,3
492,3
493,3
494,3
495,3
496,3
497,4
498,4
499,3
500,4
501,3
502,3
503,3
504,3
505,4
506,4
507,3
508,5
509,3
510,4
511,4
512,4
513,4
514,4
515,3
516,3
517,3
518,4
519,3
520,4
521,3
522,3
523,4
524,4
525,3
526,4
527,4
528,3
529,3
530,4
531,4
532,3
533,4
534,3
535,3
536,3
537,4
538,3
539,3
540,3
541,5
542,3
543,4
544,4
545,3
546,4
547,4
548,5
549,3
550,5
551,4
552,3
553,3
554,4
555,5
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,4
564,4
565,3
566,13
567,7
568,6
569,12
570,5
571,7
572,6
573,5
574,9
575,6
576,5
577,13
578,11
579,5
580,11
581,11
582,6
583,7
584,9
585,8
586,3
587,3
588,4
589,3
590,3
591,3
592,3
593,4
594,3
595,3
596,3
597,3
598,3
599,3
600,3
601,4
602,3
603,3
604,3
605,3
606,3
607,3
608,3
609,5
610,3
611,3
612,3
613,5
614,4
615,4
616,3
617,3
618,3
619,3
620,3
621,3
622,3
623,4
624,5
625,5
626,4
627,5
628,5
629,3
630,4
631,4
632,7
633,5
634,3
635,4
636,4
637,3
638,3
639,3
640,3
641,3
642,3
643,5
644,5
645,5
646,4
647,4
648,4
649,3
650,3
651,5
652,3
653,6
654,3
655,4
656,5
657,5
658,3
659,3
660,6
661,4
662,4
663,5
664,4
665,3
666,5
667,4
668,5
669,4
670,5
671,3
672,3
673,3
674,5
675,5
676,3
677,3
678,5
679,3
680,3
681,5
682,4
683,3
684,5
685,7
686,4
687,6
688,3
689,5
690,3
691,4
692,3
693,3
694,3
695,3
696,3
697,5
698,3
699,5
700,5
701,4
702,4
703,4
704,3
705,3
706,3
707,3
708,5
709,4
710,7
711,4
712,7
713,5
714,3
715,5
716,5
717,5
718,3
719,6
720,3
721,3
722,3
723,3
724,3
725,3
726,5
727,6
728,9
729,6
730,6
731,4
732,3
733,3
734,9
735,6
736,9
737,3
738,5
739,7
740,7
741,8
742,8
743,9
744,7
745,6
746,12
747,9
748,10
749,9
750,11
751,16
752,8
753,13
754,12
755,16
756,4
757,5
758,5
759,5
760,4
761,5
762,3
763,4
764,4
765,3
766,3
767,3
768,3
769,3
770,5
771,7
772,3
773,5
774,7
775,3
776,3
777,3
778,4
779,3
780,3
781,3
782,3
783,3
784,3
785,3
786,5
787,6
788,3
789,3
790,3
791,3
792,3
793,5
794,3
795,3
796,5
797,3
798,5
799,3
800,7
801,3
802,3
803,7
804,3
805,3
806,4
807,4
808,5
809,3
810,3
811,3
812,3
813,3
814,3
815,3
816,3
817,5
818,5
819,5
820,7
821,3
822,7
823,3
824,3
825,3
826,4
827,4
828,5
829,4
830,5
831,4
832,5
833,6
834,6
835,5
836,3
837,4
838,5
839,6
840,6
841,6
842,5
843,5
844,4
845,3
846,4
847,4
848,6
849,5
850,4
851,4
852,5
853,3
854,3
855,3
856,4
857,4
858,5
859,6
860,5
861,3
862,4
863,5
864,3
865,3
866,4
867,4
868,4
869,3
870,4
871,5
872,3
873,3
874,3
875,5
876,4
877,3
878,4
879,3
880,3
881,6
882,3
883,6
884,3
885,3
886,6
887,6
888,5
889,5
890,3
891,5
892,5
893,5
894,6
895,3
896,3
897,3
898,6
899,3
900,6
901,3
902,5
903,4
904,6
905,4
906,3
907,3
908,4
909,3
910,5
911,3
912,3
913,6
914,3
915,3
916,3
917,3
918,3
919,3
920,3
921,3
922,3
923,6
924,6
925,4
926,3
927,3
928,3
929,3
930,3
931,6
932,3
933,3
934,4
935,3
936,4
937,3
938,7
939,3
940,3
941,3
942,3
943,7
944,6
945,4
946,7
947,11
948,3
949,3
950,5
951,3
952,3
953,3
954,3
955,3
956,3
957,3
958,3
959,10
960,5
961,10
962,3
963,6
964,3
965,3
966,4
967,3
968,5
969,3
970,3
971,3
972,3
973,3
974,3
975,3
976,3
977,3
978,3
979,5
980,3
981,3
982,3
983,3
984,9
985,6
986,4
987,9
988,15
989,6
990,12
991,4
992,7
993,6
994,4
995,9
996,4
997,5
998,8
999,9
1000,3
1001,3
1002,3
1003,3
1004,3
1005,3
1006,4
1007,4
1008,4
1009,3
1010,3
1011,4
1012,3
1013,5
1014,3
1015,3
1016,4
1017,4
1018,3
1019,3
1020,4
1021,3
1022,3
1023,3
1024,3
1025,4
1026,3
1027,3
1028,3
1029,3
1030,3
1031,3
1032,3
1033,3
1034,3
1035,3
1036,3
1037,3
1038,3
1039,6
1040,4
1041,3
1042,3
