point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
0,5,0.912747,0.912747,1.60414,31.6432,15
1,6,1.5919,1.5919,3.08102,16.7381,16
2,9,1.38151,1.38151,2.15652,33.0804,17
3,5,1.62447,1.62447,3.30358,23.9625,16
4,4,1.25092,1.25092,3.29288,18.6136,3
5,11,2.07229,2.07229,3.75196,39.7347,19
6,8,1.72143,1.72143,3.50948,24.1447,19
7,11,1.65257,1.65257,3.26434,39.9744,18
8,4,1.89687,1.89687,3.92287,30.9967,6
9,4,1.49904,1.49904,3.22366,11.9162,5
10,5,1.76605,1.76605,3.54171,33.2203,6
11,5,0.957177,0.957177,1.98401,8.61688,4
12,10,1.66787,1.66787,3.27357,35.6598,19
13,7,1.86557,1.86557,3.73833,24.6637,17
14,7,0.811294,0.811294,1.32172,30.2733,10
15,8,1.52159,1.52159,3.0274,29.0449,14
16,6,1.73247,1.73247,3.7847,23.6481,18
17,6,1.84718,1.84718,3.66241,28.4336,19
18,6,1.23994,1.23994,2.68086,33.2255,11
19,4,0.665884,0.665884,1.27611,23.281,4
20,5,1.56528,1.56528,3.63082,22.7281,8
21,13,1.37627,1.37627,3.58925,40.7117,19
22,10,2.09233,2.09233,3.95089,29.173,19
23,5,1.43258,1.43258,2.21867,21.6071,16
24,9,1.53889,1.53889,3.76137,25.0323,17
25,6,1.85008,1.85008,3.36293,22.9193,16
26,6,0.891762,0.891762,1.29367,26.5319,18
27,5,1.87586,1.87586,3.16866,15.8321,12
28,5,1.61084,1.61084,3.75699,6.15341,4
29,6,1.84986,1.84986,3.19044,10.7601,5
30,3,0.662596,0.662596,1.19639,9.14152,2
31,5,1.97823,1.97823,3.92953,12.035,5
32,5,1.97823,1.97823,3.92953,12.035,5
33,8,2.04299,2.04299,3.33044,32.4288,7
34,3,0.361112,0.361112,0.556595,28.921,8
35,5,1.66502,1.66502,3.79037,14.6414,4
36,4,1.0087,1.0087,3.14314,19.412,3
37,6,1.07136,1.07136,2.60826,30.0868,13
38,9,1.20644,1.20644,2.8455,23.0549,13
39,2,0.522727,0.522727,0.526358,12.071,2
40,2,0.0283588,0.0283588,0.0308818,8.56081,2
41,4,0.912376,0.912376,2.17533,25.8096,19
42,2,1.81872,1.81872,3.35508,8.01619,2
43,2,1.13674,1.13674,1.73144,2.78405,1
44,2,1.9355,1.9355,3.60349,3.42449,1
45,2,1.9355,1.9355,3.60349,3.42449,1
46,2,1.36856,1.36856,2.33221,5.5191,1
47,6,1.79544,1.79544,3.77477,8.31974,7
48,9,1.20347,1.20347,3.70341,34.1485,10
49,4,1.30676,1.30676,2.2396,12.0233,5
50,3,0.916838,0.916838,1.48329,6.30694,5
51,8,1.73996,1.73996,3.21345,35.4118,9
52,12,1.27272,1.27272,3.78763,29.8319,18
53,8,1.40328,1.40328,2.17246,29.1149,14
54,6,1.28527,1.28527,3.68371,29.4758,9
55,3,1.14638,1.14638,2.3523,29.5045,6
56,5,1.33524,1.33524,2.60187,7.97802,5
57,9,1.41656,1.41656,3.83639,21.8434,18
58,4,0.452129,0.452129,0.672386,8.94685,8
59,2,1.72371,1.72371,3.14141,2.03981,1
60,2,1.06389,1.06389,1.52111,2.01077,1
61,8,1.46432,1.46432,3.4408,26.9047,14
62,4,1.87776,1.87776,3.88966,7.47113,4
63,5,1.32517,1.32517,2.41957,9.30068,5
64,4,1.3547,1.3547,3.05809,11.1479,3
65,4,0.988574,0.988574,1.80914,12.0012,5
66,6,2.24054,2.24054,3.63476,6.60077,5
67,8,1.07615,1.07615,2.23658,30.9969,12
68,3,1.42838,1.42838,3.09195,7.99673,3
69,6,1.04915,1.04915,3.48259,28.5127,13
70,6,1.91014,1.91014,3.69362,12.0137,5
71,4,1.03322,1.03322,1.83543,5.55908,3
72,6,0.959237,0.959237,1.58887,10.6616,6
73,7,1.45093,1.45093,3.4099,11.9425,5
74,7,1.33756,1.33756,2.48248,27.2182,9
75,5,1.98046,1.98046,3.92627,11.8772,5
76,5,0.949208,0.949208,2.47998,29.2391,17
77,8,1.13641,1.13641,2.61096,26.1812,12
78,6,1.91014,1.91014,3.69362,12.0137,5
79,5,0.690496,0.690496,1.07293,29.7368,9
80,4,1.16359,1.16359,2.2074,6.27414,4
81,8,0.722881,0.722881,1.47222,12.2956,7
82,5,1.58383,1.58383,3.16411,11.9164,5
83,5,1.68102,1.68102,3.83516,5.80945,4
84,4,1.67576,1.67576,3.10512,11.8994,5
85,10,1.51693,1.51693,3.2336,26.9017,15
86,6,2.2156,2.2156,3.37985,11.7601,5
87,11,1.67893,1.67893,3.96252,25.7881,10
88,5,1.61084,1.61084,3.75699,6.15341,4
89,4,1.18524,1.18524,2.5869,20.7373,6
90,5,1.72097,1.72097,3.28452,12.0284,5
91,5,1.61434,1.61434,2.94125,6.92797,4
92,5,1.3714,1.3714,3.51477,7.75991,5
93,5,0.963473,0.963473,2.80279,6.4809,4
94,8,0.906492,0.906492,1.93749,22.7634,11
95,5,1.84419,1.84419,3.37714,9.29132,5
96,9,1.40908,1.40908,3.74964,29.2143,18
97,7,1.55694,1.55694,3.64227,23.9143,8
98,3,1.68255,1.68255,2.56922,4.85803,3
99,2,1.3832,1.3832,2.35844,5.87782,2
100,2,0.172473,0.172473,0.17398,7.24706,2
101,2,0.394725,0.394725,0.399815,27.2429,6
102,3,0.782538,0.782538,1.16017,5.40668,4
103,3,1.04388,1.04388,1.56552,5.29747,2
104,3,0.83476,0.83476,1.26328,6.13091,2
105,2,0.188145,0.188145,0.189824,30.5732,5
106,3,1.15158,1.15158,2.19867,5.67995,2
