frame_id,registered,qw,qx,qy,qz,tx,ty,tz
9,1,0.993526,0.0745599,-0.0758155,0.0399962,0.841271,4.81719,0.144137
10,1,0.989888,0.0790837,-0.112992,0.0331805,0.214673,4.51002,0.0282995
11,1,0.990787,0.0828507,-0.0996651,0.0392883,-0.232318,3.89892,0.212477
8,1,0.994266,0.0870287,-0.0448643,0.0429902,1.32407,3.93813,0.192621
7,1,0.991945,0.0990043,-0.0621057,0.0488442,0.561025,3.18177,0.959894
12,1,0.986016,0.129633,-0.0792689,0.0684441,-0.571389,2.57191,0.97964
19,1,0.995091,0.0367921,-0.0868152,-0.03007,2.67843,-2.97349,0.106202
18,1,0.991424,-0.0108252,-0.104565,-0.0776375,1.52008,-3.98096,0.450168
17,1,0.986624,-0.0282925,-0.141172,-0.076438,0.135273,-4.56656,0.297133
16,1,0.990793,0.0280401,-0.1221,-0.0513361,-0.778529,-4.36697,-0.114747
5,1,0.996358,0.0778854,-0.0118878,0.0326226,0.812862,1.36727,-1.30638
0,1,0.991301,-0.0405188,-0.116664,0.0454982,-1.79367,-2.40027,0.0103618
13,1,0.968474,0.225672,-0.0284307,0.101593,-1.03382,-0.351788,1.3488
2,1,0.999862,-0.00782696,-0.0116211,0.00896427,-1.73589,-1.7877,-0.317145
15,1,0.987312,0.131703,-0.0854316,0.0238782,-0.541123,-2.98355,0.170211
4,1,0.999921,0.00544905,-0.0109537,0.0028531,-0.841031,0.0865085,-0.324357
1,1,0.996937,0.053897,-0.0491245,0.0282717,-1.82434,-2.11281,-1.02763
6,1,0.995068,0.061084,-0.0576725,0.0527562,0.880053,1.89501,0.993903
14,1,0.977002,0.185723,-0.0757943,0.0723087,-1.27738,-1.44461,0.741958
3,1,0.999935,-0.0057073,-0.00895962,0.00416378,-1.51716,-1.02293,-0.123899
