检测到 14 个平面 (n=36556195, n_min=365561)

#    法向 (单位向量)                    偏移 d(m)    inliers   
1    [ 0.838  0.110  0.534]          -3.573    12470352
2    [-0.071  0.661  0.747]          -3.943     1086096
3    [-0.046  0.657  0.753]          -3.897      807721
4    [-0.429  0.700  0.571]          -4.245      648984
5    [-0.020  0.668  0.744]          -3.845      620042
6    [ 0.837  0.104  0.537]          -3.583      858592
7    [-0.456  0.680  0.574]          -4.746     1033403
8    [-0.439  0.687  0.579]          -4.318      521045
9    [-0.459  0.687  0.564]          -4.737      546205
10   [-0.024  0.658  0.752]          -3.911      538382
11   [-0.118  0.688  0.716]          -3.882      449106
12   [ 0.423  0.488  0.763]          -2.914      418220
13   [-0.469  0.675  0.569]          -4.311      504131
14   [ 0.012  0.652  0.758]          -3.780      371833

=== 平行面对 (法向夹角 < 5 度) ===
  平面01 与 平面06  夹角 0.37 度  【面间距 0.010 m】  inliers 12470352 / 858592
  平面02 与 平面03  夹角 1.49 度  【面间距 0.046 m】  inliers 1086096 / 807721
  平面02 与 平面05  夹角 2.93 度  【面间距 0.098 m】  inliers 1086096 / 620042
  平面02 与 平面10  夹角 2.72 度  【面间距 0.032 m】  inliers 1086096 / 538382
  平面02 与 平面11  夹角 3.59 度  【面间距 0.061 m】  inliers 1086096 / 449106
  平面02 与 平面14  夹角 4.81 度  【面间距 0.164 m】  inliers 1086096 / 371833
  平面03 与 平面05  夹角 1.69 度  【面间距 0.052 m】  inliers 807721 / 620042
  平面03 与 平面10  夹角 1.27 度  【面间距 0.014 m】  inliers 807721 / 538382
  平面03 与 平面11  夹角 4.99 度  【面间距 0.015 m】  inliers 807721 / 449106
  平面03 与 平面14  夹角 3.34 度  【面间距 0.118 m】  inliers 807721 / 371833
  平面04 与 平面07  夹角 1.99 度  【面间距 0.501 m】  inliers 648984 / 1033403
  平面04 与 平面08  夹角 1.10 度  【面间距 0.073 m】  inliers 648984 / 521045
  平面04 与 平面09  夹角 1.94 度  【面间距 0.492 m】  inliers 648984 / 546205
  平面04 与 平面13  夹角 2.70 度  【面间距 0.067 m】  inliers 648984 / 504131
  平面05 与 平面10  夹角 0.77 度  【面间距 0.066 m】  inliers 620042 / 538382
  平面05 与 平面14  夹角 2.22 度  【面间距 0.065 m】  inliers 620042 / 371833
  平面07 与 平面08  夹角 1.09 度  【面间距 0.428 m】  inliers 1033403 / 521045
  平面07 与 平面09  夹角 0.74 度  【面间距 0.009 m】  inliers 1033403 / 546205
  平面07 与 平面13  夹角 0.80 度  【面间距 0.435 m】  inliers 1033403 / 504131
  平面08 与 平面09  夹角 1.43 度  【面间距 0.419 m】  inliers 521045 / 546205
  平面08 与 平面13  夹角 1.89 度  【面间距 0.007 m】  inliers 521045 / 504131
  平面09 与 平面13  夹角 0.91 度  【面间距 0.425 m】  inliers 546205 / 504131
  平面10 与 平面14  夹角 2.10 度  【面间距 0.131 m】  inliers 538382 / 371833
平行面对数: 23

判据: d_max = 0.01 m。面间距 >> 0.01 m 的平行面对 = 同一物理平面的多层被拆成了独立平面。
