检测到 13 个平面 (n=36271614, n_min=362716)

#    法向 (单位向量)                    偏移 d(m)    inliers   
1    [ 0.838  0.110  0.535]          -3.573    12784031
2    [-0.081  0.671  0.737]          -3.916     1129919
3    [-0.456  0.682  0.572]          -4.749      964436
4    [-0.054  0.665  0.745]          -3.886     1033834
5    [-0.463  0.689  0.558]          -4.728      638782
6    [-0.442  0.675  0.591]          -4.329      578215
7    [ 0.837  0.109  0.536]          -3.588      751719
8    [-0.100  0.680  0.726]          -3.854      551443
9    [-0.087  0.705  0.704]          -3.712      448139
10   [ 0.699  0.287  0.654]          -2.729      417305
11   [-0.105  0.695  0.711]          -3.860      413322
12   [ 0.466  0.498  0.731]          -2.788      407719
13   [-0.059  0.672  0.738]          -3.837      441199

=== 平行面对 (法向夹角 < 5 度) ===
  平面01 与 平面07  夹角 0.08 度  【面间距 0.015 m】  inliers 12784031 / 751719
  平面02 与 平面04  夹角 1.65 度  【面间距 0.030 m】  inliers 1129919 / 1033834
  平面02 与 平面08  夹角 1.37 度  【面间距 0.061 m】  inliers 1129919 / 551443
  平面02 与 平面09  夹角 2.74 度  【面间距 0.204 m】  inliers 1129919 / 448139
  平面02 与 平面11  夹角 2.47 度  【面间距 0.056 m】  inliers 1129919 / 413322
  平面02 与 平面13  夹角 1.25 度  【面间距 0.079 m】  inliers 1129919 / 441199
  平面03 与 平面05  夹角 1.02 度  【面间距 0.020 m】  inliers 964436 / 638782
  平面03 与 平面06  夹角 1.37 度  【面间距 0.420 m】  inliers 964436 / 578215
  平面04 与 平面08  夹角 2.99 度  【面间距 0.032 m】  inliers 1033834 / 551443
  平面04 与 平面09  夹角 3.82 度  【面间距 0.174 m】  inliers 1033834 / 448139
  平面04 与 平面11  夹角 3.94 度  【面间距 0.026 m】  inliers 1033834 / 413322
  平面04 与 平面13  夹角 0.68 度  【面间距 0.049 m】  inliers 1033834 / 441199
  平面05 与 平面06  夹角 2.37 度  【面间距 0.400 m】  inliers 638782 / 578215
  平面08 与 平面09  夹角 2.05 度  【面间距 0.142 m】  inliers 551443 / 448139
  平面08 与 平面11  夹角 1.28 度  【面间距 0.005 m】  inliers 551443 / 413322
  平面08 与 平面13  夹角 2.48 度  【面间距 0.017 m】  inliers 551443 / 441199
  平面09 与 平面11  夹角 1.21 度  【面间距 0.148 m】  inliers 448139 / 413322
  平面09 与 平面13  夹角 3.14 度  【面间距 0.125 m】  inliers 448139 / 441199
  平面11 与 平面13  夹角 3.32 度  【面间距 0.023 m】  inliers 413322 / 441199
平行面对数: 19

判据: d_max = 0.01 m。面间距 >> 0.01 m 的平行面对 = 同一物理平面的多层被拆成了独立平面。
