[info] 官方元组: 44000 场景
[1/20] shard-000000.tar  累计写出 49 场景  carry ['scene_10040']
[2/20] shard-000001.tar  累计写出 98 场景  carry ['scene_10085']
[3/20] shard-000002.tar  累计写出 147 场景  carry ['scene_10129']
[4/20] shard-000003.tar  累计写出 196 场景  carry ['scene_10173']
[5/20] shard-000004.tar  累计写出 245 场景  carry ['scene_10217']
[6/20] shard-000005.tar  累计写出 294 场景  carry ['scene_10261']
[7/20] shard-000006.tar  累计写出 344 场景  carry ['scene_10306']
[8/20] shard-000007.tar  累计写出 393 场景  carry ['scene_10350']
[9/20] shard-000008.tar  累计写出 442 场景  carry ['scene_10395']
[10/20] shard-000009.tar  累计写出 491 场景  carry ['scene_10439']
[11/20] shard-000010.tar  累计写出 540 场景  carry ['scene_10483']
[12/20] shard-000011.tar  累计写出 589 场景  carry ['scene_10527']
[13/20] shard-000012.tar  累计写出 638 场景  carry ['scene_10571']
[14/20] shard-000013.tar  累计写出 687 场景  carry ['scene_10615']
[15/20] shard-000014.tar  累计写出 737 场景  carry ['scene_10660']
[16/20] shard-000015.tar  累计写出 786 场景  carry ['scene_10704']
[17/20] shard-000016.tar  累计写出 835 场景  carry ['scene_10749']
[18/20] shard-000017.tar  累计写出 884 场景  carry ['scene_10793']
[19/20] shard-000018.tar  累计写出 934 场景  carry ['scene_10838']
[20/20] shard-000019.tar  累计写出 983 场景  carry []
[done] 写出 983 场景, 丢弃 1 个 (帧数!=8 或不在元组表)
   drop scene_10882 (帧数 4)
