[SKIP] tg_AbandonedFactory2_omni_P0000 已存在
[OK] tg_AncientTowns_omni_P0001  105 帧  剩余磁盘 293G
[OK] tg_CarWelding_omni_P0002  135 帧  剩余磁盘 287G
[OK] tg_ConstructionSite_omni_P0003  150 帧  剩余磁盘 286G
[OK] tg_Downtown_omni_P0004  150 帧  剩余磁盘 277G
[OK] tg_ForestEnv_omni_P0000  150 帧  剩余磁盘 269G
[OK] tg_GreatMarsh_omni_P0001  150 帧  剩余磁盘 222G
[OK] tg_House_omni_P0001  94 帧  剩余磁盘 218G
[OK] tg_JapaneseCity_omni_P0004  117 帧  剩余磁盘 215G
[OK] tg_ModularNeighborhood_omni_P0000  150 帧  剩余磁盘 216G
[OK] tg_Office_omni_P0001  150 帧  剩余磁盘 218G
[OK] tg_OldIndustrialCity_omni_P0002  150 帧  剩余磁盘 195G
[OK] tg_OldTownNight_diff_P1000  150 帧  剩余磁盘 206G
[OK] tg_Restaurant_omni_P0000  150 帧  剩余磁盘 196G
[OK] tg_SeasideTown_diff_P1000  150 帧  剩余磁盘 186G
[OK] tg_SeasonalForestSummerNight_diff_P1000  150 帧  剩余磁盘 196G
[OK] tg_Slaughter_omni_P0000  93 帧  剩余磁盘 179G
[OK] tg_UrbanConstruction_omni_P0001  150 帧  剩余磁盘 178G
[OK] tg_WaterMillNight_omni_P0002  150 帧  剩余磁盘 189G
BATCH_DONE ok=19 fail=0
