arm	ms	sha12	kernel
base	6461.479	a59db73512ce	backend=blocked(fma8x4+pipeb,V3)
direct	6277.669	a59db73512ce	backend=blocked(fma8x4+direct,V4)
direct44	848.897	a59db73512ce	backend=blocked(fma4x4+direct,V4)
directg	4399.883	a59db73512ce	backend=blocked(fma8x4+directg,V4)
direct44g	125.494	?	backend=blocked(fma4x4+directg,V4)
direct+chunk_off	6084.054	a59db73512ce	backend=blocked(fma8x4+direct,V4)
directg+chunk_off	4113.844	a59db73512ce	backend=blocked(fma8x4+directg,V4)
direct44g+chunk_off	133.558	?	backend=blocked(fma4x4+directg,V4)
directtex	2554.831	a59db73512ce	backend=blocked(fma8x4+direct+tex,V4)
directgtex	5215.165	a59db73512ce	backend=blocked(fma8x4+directg+tex,V4)
direct44gtex	133.684	?	backend=blocked(fma4x4+directg+tex,V4)
base_again	6082.883	a59db73512ce	backend=blocked(fma8x4+pipeb,V3)
direct_again	6269.571	a59db73512ce	backend=blocked(fma8x4+direct,V4)
