arm	ms	sha12	kernel	build
best_ref	710.120	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb,V4)	915f9b585d48
fma	683.618	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb+fma,V4)	915f9b585d48
unroll2	699.085	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb+unroll2,V4)	915f9b585d48
unroll4	769.862	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb+unroll4,V4)	915f9b585d48
unroll8	9858.215	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb+unroll8,V4)	915f9b585d48
fma_unroll4	767.153	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb+fma+unroll4,V4)	915f9b585d48
fma_unroll8	10053.462	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb+fma+unroll8,V4)	915f9b585d48
sm_fma_unroll4	706.076	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb+scanmem+fma+unroll4,V4)	915f9b585d48
best_again	680.715	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb,V4)	915f9b585d48
fma_again	684.472	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb+fma,V4)	915f9b585d48
