arm	ms	sha12	chain
Mate10 A_ref	1139.728	a59db73512ce	NOPB applied=1|F16 applied=1|
Mate10 A_keyscan	652.450	a59db73512ce	KEYSCAN applied=1|NOPB applied=1|F16 applied=1|
Mate10 A_w64	1125.322	a59db73512ce	W64 applied=1|NOPB applied=1|F16 applied=1|
Mate10 A_w64_keyscan	604.494	a59db73512ce	W64 applied=1|KEYSCAN applied=1|NOPB applied=1|F16 applied=1|
Mate10 A_keyscan_2	638.541	a59db73512ce	KEYSCAN applied=1|NOPB applied=1|F16 applied=1|
Mate10 A_ref_2	821.970	a59db73512ce	NOPB applied=1|F16 applied=1|
Mate10 A_w64_keyscan_2	602.895	a59db73512ce	W64 applied=1|KEYSCAN applied=1|NOPB applied=1|F16 applied=1|
Mate10 A_w64_2	1139.770	a59db73512ce	W64 applied=1|NOPB applied=1|F16 applied=1|
Mate10 A_ref_3	811.391	a59db73512ce	NOPB applied=1|F16 applied=1|
Mate10 A_keyscan_3	619.653	a59db73512ce	KEYSCAN applied=1|NOPB applied=1|F16 applied=1|
