arm	ms	sha12	keyguard	label
P50P default_1	525.587	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+keyscan2+ptr,V6)
P50P now64_2	546.999	a59db73512ce		blocked(fma4x4+direct+w128+nopb+f16+keyscan2+ptr,V6)
P50P noptr_3	571.315	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+keyscan2,V6)
P50P nokeyscan_4	458.362	a59db73512ce		blocked(fma4x4+direct+w128+nopb+f16+ptr,V6)
P50P default_5	530.498	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+keyscan2+ptr,V6)
P50P formA_6	488.294	a59db73512ce		blocked(fma4x4+direct+w128+nopb+f16,V6)
P50P nokeyscan_7	465.390	a59db73512ce		blocked(fma4x4+direct+w128+nopb+f16+ptr,V6)
P50P noptr_8	558.758	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+keyscan2,V6)
P50P now64_9	538.150	a59db73512ce		blocked(fma4x4+direct+w128+nopb+f16+keyscan2+ptr,V6)
P50P default_10	538.812	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+keyscan2+ptr,V6)
P50P formA_11	473.664	a59db73512ce		blocked(fma4x4+direct+w128+nopb+f16,V6)
