arm	ms	sha12	keyguard	label	file
P50P default_1	532.999	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+keyscan2+ptr,V6)	
P50P ks1_2	539.759	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+ptr+keyscan,V6)	
P50P ks3_3	473.002	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+ptr+keyscan,V6)	w64_ks3_ptr.wgsl len=8665
P50P nokeyscan_4	457.488	a59db73512ce		blocked(fma4x4+direct+w128+nopb+f16+ptr,V6)	
P50P formA_5	479.726	a59db73512ce		blocked(fma4x4+direct+w128+nopb+f16,V6)	
P50P default_6	555.152	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+keyscan2+ptr,V6)	
P50P ks3_7	487.830	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+ptr+keyscan,V6)	w64_ks3_ptr.wgsl len=8665
P50P ks1_8	545.729	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+ptr+keyscan,V6)	
P50P nokeyscan_9	476.413	a59db73512ce		blocked(fma4x4+direct+w128+nopb+f16+ptr,V6)	
P50P default_10	562.876	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+keyscan2+ptr,V6)	
P50P ks3_11	476.875	a59db73512ce		blocked(fma4x4+direct+w64+nopb+f16+ptr+keyscan,V6)	w64_ks3_ptr.wgsl len=8665
