# 09-07 #3「扫描剥离成第二个 dispatch」三端判死;WGSL_FILE 推文件,零安装
device	arm	min_ms_or_wallp50	sha12	note
Mate10	ref	303.636	a59db73512ce	keyguard=false
Mate10	p1_nobarrier	527.496	2bf02c24f56f	+74%(竞态,只为给 barrier 定价)
Mate10	ref	302.046	a59db73512ce	
Mate10	p2_notail	91.765	-	作废:247 GFMA/s > 峰值 105.7,dot() 被代数化简
Mate10	ref	300.440	a59db73512ce	
Mate10	p3_nolds	451.193	e3b0c44298fc	+49% = #3 的 GEMM 核形状
Mate10	ref	303.940	a59db73512ce	
A16	ref	58.618	a59db73512ce	dawn/metal 0.8313 ident=true
A16	p1_nobarrier	54.968	7d524a77737e	dawn/metal 0.7857(-6%)
A16	p3_nolds	52.820	e3b0c44298fc	dawn/metal 0.7632(-9%)
# 09-07 分块提交策略重定价(env only)
A16	def_1	58.603	a59db73512ce	metal 70.726 ratio 0.8286 chunks=4
A16	zero_1	54.658	a59db73512ce	metal 58.569 ratio 0.9332 chunks=0
A16	def_2	59.082	a59db73512ce	metal 69.976 ratio 0.8443
A16	zero_2	54.743	a59db73512ce	metal 58.633 ratio 0.9336
A16	def_3	59.273	a59db73512ce	metal 70.660 ratio 0.8388
A16	zero_3	54.656	a59db73512ce	metal 58.754 ratio 0.9303
Mate10	def	300.311	a59db73512ce	keyguard=false
Mate10	zero	293.157	a59db73512ce	keyguard=false
Mate10	def	301.090	a59db73512ce	
Mate10	zero	293.611	a59db73512ce	
Mate10	def	302.268	a59db73512ce	
Mate10	zero	294.309	a59db73512ce	
